Name,Owner,URL,CreatedAt,UpdatedAt,StargazerCount,ForkCount,PrimaryLanguage,Watchers,Releases
guava,google,https://github.com/google/guava,2014-05-29T16:23:17Z,2020-10-07T18:54:09Z,38958,8740,Java,2519,29
Java8InAction,java8,https://github.com/java8/Java8InAction,2013-10-28T23:59:40Z,2020-10-07T08:49:12Z,2679,1935,Java,281,0
JavaScript-MD5,blueimp,https://github.com/blueimp/JavaScript-MD5,2011-12-10T20:42:25Z,2020-10-06T13:20:11Z,3914,1551,JavaScript,114,0
javaee7-samples,javaee-samples,https://github.com/javaee-samples/javaee7-samples,2013-08-27T18:47:51Z,2020-10-07T17:10:42Z,2454,1657,Java,373,0
awesome-javascript,sorrycc,https://github.com/sorrycc/awesome-javascript,2014-07-01T15:59:02Z,2020-10-07T21:02:57Z,21127,3129,,1027,0
jadx,skylot,https://github.com/skylot/jadx,2013-03-18T17:08:21Z,2020-10-07T18:51:13Z,23532,2823,Java,741,13
JavaScript-Load-Image,blueimp,https://github.com/blueimp/JavaScript-Load-Image,2011-12-12T22:22:36Z,2020-10-04T04:45:44Z,3990,918,JavaScript,170,0
JavaScript-Koans,liammclennan,https://github.com/liammclennan/JavaScript-Koans,2010-10-20T04:53:24Z,2020-10-07T11:54:01Z,1316,1225,JavaScript,59,0
awesome-java-cn,jobbole,https://github.com/jobbole/awesome-java-cn,2015-10-01T06:53:06Z,2020-10-06T09:13:34Z,13350,4472,,1547,0
Javascript,TheAlgorithms,https://github.com/TheAlgorithms/Javascript,2017-07-13T06:12:33Z,2020-10-07T23:51:54Z,6397,1266,JavaScript,299,0
javapoet,square,https://github.com/square/javapoet,2013-02-01T16:56:30Z,2020-10-04T09:35:58Z,8375,1083,Java,350,0
weixin-java-tools,chanjarster,https://github.com/chanjarster/weixin-java-tools,2014-08-18T08:11:26Z,2020-10-06T05:37:17Z,2581,7904,Java,477,21
javaScript,yangxi0126,https://github.com/yangxi0126/javaScript,2016-02-02T01:45:52Z,2020-10-07T04:26:42Z,1175,682,JavaScript,81,0
arthas,alibaba,https://github.com/alibaba/arthas,2018-08-29T17:15:57Z,2020-10-07T23:52:28Z,23193,5046,Java,1120,27
javacv,bytedeco,https://github.com/bytedeco/javacv,2014-04-21T13:50:26Z,2020-10-07T16:20:01Z,4594,1196,Java,256,5
realm-java,realm,https://github.com/realm/realm-java,2012-04-20T09:18:42Z,2020-10-07T15:30:19Z,11008,1739,Java,379,0
javascript-koans,mrdavidlaing,https://github.com/mrdavidlaing/javascript-koans,2010-11-06T14:50:55Z,2020-09-28T15:17:34Z,2182,3265,JavaScript,91,0
Eloquent-JavaScript,marijnh,https://github.com/marijnh/Eloquent-JavaScript,2013-09-30T13:40:20Z,2020-10-05T16:19:07Z,2452,643,JavaScript,154,0
JavaScript-Garden,BonsaiDen,https://github.com/BonsaiDen/JavaScript-Garden,2011-01-04T14:41:31Z,2020-10-06T14:08:28Z,3286,573,CSS,173,0
WebViewJavascriptBridge,marcuswestin,https://github.com/marcuswestin/WebViewJavascriptBridge,2011-08-28T02:25:27Z,2020-10-05T05:13:41Z,13385,2826,Objective-C,518,0
mybatis-3,mybatis,https://github.com/mybatis/mybatis-3,2013-02-14T19:03:32Z,2020-10-07T04:04:12Z,14347,9622,Java,1203,33
netty-socketio,mrniko,https://github.com/mrniko/netty-socketio,2012-01-12T11:43:49Z,2020-10-07T16:32:23Z,4924,1363,Java,411,3
JavaScriptServices,aspnet,https://github.com/aspnet/JavaScriptServices,2015-11-02T01:24:11Z,2020-10-01T07:19:15Z,3129,538,C#,283,2
JavaInterview,OUYANGSIHAI,https://github.com/OUYANGSIHAI/JavaInterview,2020-02-19T08:52:03Z,2020-10-07T16:35:44Z,1810,464,,97,0
JSON-java,stleary,https://github.com/stleary/JSON-java,2010-12-21T17:46:09Z,2020-10-05T14:15:09Z,3659,2238,Java,271,11
jjwt,jwtk,https://github.com/jwtk/jjwt,2014-09-13T01:06:24Z,2020-10-07T13:37:51Z,6818,1008,Java,279,0
fastjson,alibaba,https://github.com/alibaba/fastjson,2011-11-03T06:58:52Z,2020-10-07T11:36:51Z,22454,5978,Java,1397,79
en.javascript.info,javascript-tutorial,https://github.com/javascript-tutorial/en.javascript.info,2017-06-03T14:27:57Z,2020-10-07T23:06:12Z,11128,2336,HTML,282,0
gson,google,https://github.com/google/gson,2015-03-19T18:21:20Z,2020-10-07T15:30:59Z,18610,3602,Java,747,0
jna,java-native-access,https://github.com/java-native-access/jna,2011-04-29T13:30:29Z,2020-10-07T20:15:26Z,6028,1381,Java,388,0
JavaHamcrest,hamcrest,https://github.com/hamcrest/JavaHamcrest,2012-04-01T19:38:04Z,2020-10-04T09:48:35Z,1795,334,Java,109,7
javaparser,javaparser,https://github.com/javaparser/javaparser,2011-10-30T14:03:44Z,2020-10-05T17:18:22Z,3302,773,Java,135,18
123-Essential-JavaScript-Interview-Questions,ganqqwerty,https://github.com/ganqqwerty/123-Essential-JavaScript-Interview-Questions,2015-06-02T12:50:14Z,2020-10-07T18:08:35Z,2841,792,,115,0
learn-javascript,michaelliao,https://github.com/michaelliao/learn-javascript,2015-08-09T11:33:56Z,2020-10-04T08:37:43Z,1472,2262,,103,0
javascripting,workshopper,https://github.com/workshopper/javascripting,2014-09-29T23:38:32Z,2020-10-07T01:33:17Z,2211,907,JavaScript,153,0
JavaCollection,hansonwang99,https://github.com/hansonwang99/JavaCollection,2020-05-01T14:14:36Z,2020-10-07T13:53:26Z,1717,329,,101,0
javascript-algorithms,mgechev,https://github.com/mgechev/javascript-algorithms,2012-11-18T19:11:57Z,2020-10-07T11:16:10Z,6408,1127,JavaScript,262,0
Java-WebSocket,TooTallNate,https://github.com/TooTallNate/Java-WebSocket,2010-01-20T23:33:04Z,2020-10-07T07:08:30Z,7292,2077,Java,362,12
JavaScript-Templates,blueimp,https://github.com/blueimp/JavaScript-Templates,2011-12-10T20:55:40Z,2020-10-07T08:03:08Z,1604,446,JavaScript,114,0
jfinal,jfinal,https://github.com/jfinal/jfinal,2012-04-25T08:48:48Z,2020-10-04T05:29:27Z,3091,1358,Java,373,0
jd-gui,java-decompiler,https://github.com/java-decompiler/jd-gui,2015-03-25T05:28:41Z,2020-10-07T16:02:53Z,9112,1766,Java,500,18
aws-sdk-java,aws,https://github.com/aws/aws-sdk-java,2010-03-22T23:34:58Z,2020-10-07T20:30:47Z,3372,2564,Java,322,0
awesome-javascript-cn,jobbole,https://github.com/jobbole/awesome-javascript-cn,2015-11-03T11:17:05Z,2020-10-06T12:27:54Z,6582,1816,,626,0
JsonPath,json-path,https://github.com/json-path/JsonPath,2011-01-24T13:19:19Z,2020-10-06T09:49:19Z,5255,1003,Java,277,4
java-learning,brianway,https://github.com/brianway/java-learning,2016-02-09T05:20:58Z,2020-10-07T15:30:29Z,3512,1158,Java,322,0
JavaLambdaInternals,CarpenterLee,https://github.com/CarpenterLee/JavaLambdaInternals,2016-10-13T12:47:26Z,2020-10-06T00:22:40Z,1181,424,Java,72,0
JavaScript30,soyaine,https://github.com/soyaine/JavaScript30,2016-12-20T09:19:41Z,2020-10-07T01:04:51Z,1487,377,JavaScript,95,0
Java-Tutorial,h2pl,https://github.com/h2pl/Java-Tutorial,2018-05-01T15:57:21Z,2020-10-07T08:17:19Z,4032,1043,Java,151,0
scribejava,scribejava,https://github.com/scribejava/scribejava,2010-09-05T19:11:40Z,2020-10-05T15:57:01Z,5085,1664,Java,322,2
webmagic,code4craft,https://github.com/code4craft/webmagic,2013-04-23T12:57:36Z,2020-10-07T08:35:27Z,9285,3864,Java,818,20
CtCI-6th-Edition-JavaScript,careercup,https://github.com/careercup/CtCI-6th-Edition-JavaScript,2016-02-12T05:01:45Z,2020-10-07T08:30:31Z,1528,647,JavaScript,61,0
google-java-format,google,https://github.com/google/google-java-format,2015-05-11T20:38:28Z,2020-10-07T23:25:20Z,3538,625,Java,147,11
stackoverflow-java-top-qa,giantray,https://github.com/giantray/stackoverflow-java-top-qa,2015-08-18T02:10:15Z,2020-10-06T09:04:35Z,5088,1492,,459,0
graphql-java,graphql-java,https://github.com/graphql-java/graphql-java,2015-07-06T06:52:20Z,2020-10-06T17:37:09Z,4499,823,Java,235,31
javacpp,bytedeco,https://github.com/bytedeco/javacpp,2014-04-21T12:47:21Z,2020-10-07T15:08:10Z,3284,450,Java,185,5
better-java,cxxr,https://github.com/cxxr/better-java,2014-05-05T22:10:53Z,2020-10-07T18:01:02Z,5618,710,,370,0
30-seconds-of-java8,biezhi,https://github.com/biezhi/30-seconds-of-java8,2018-01-30T13:02:27Z,2020-10-07T19:40:11Z,1910,344,Java,70,0
javalin,tipsy,https://github.com/tipsy/javalin,2017-04-02T20:01:28Z,2020-10-07T23:06:12Z,4242,375,Kotlin,107,0
JavaScript-Canvas-to-Blob,blueimp,https://github.com/blueimp/JavaScript-Canvas-to-Blob,2012-02-11T01:26:32Z,2020-09-28T12:56:37Z,1396,390,JavaScript,67,0
beginner-javascript,wesbos,https://github.com/wesbos/beginner-javascript,2019-05-29T19:03:46Z,2020-10-07T08:00:40Z,3607,805,HTML,81,0
computer-science-in-javascript,humanwhocodes,https://github.com/humanwhocodes/computer-science-in-javascript,2009-04-12T01:03:24Z,2020-10-07T19:01:43Z,7410,1083,JavaScript,319,0
http-request,kevinsawicki,https://github.com/kevinsawicki/http-request,2011-10-21T19:54:58Z,2020-10-07T09:32:02Z,3095,816,Java,231,0
Java-concurrency,CL0610,https://github.com/CL0610/Java-concurrency,2018-04-30T07:17:54Z,2020-10-07T04:17:52Z,2625,867,,127,0
awesome-java,Snailclimb,https://github.com/Snailclimb/awesome-java,2019-12-06T11:03:23Z,2020-10-07T11:14:04Z,3530,760,,162,0
java-docs-samples,GoogleCloudPlatform,https://github.com/GoogleCloudPlatform/java-docs-samples,2015-03-25T22:48:38Z,2020-10-07T21:49:53Z,1186,2298,Java,115,1
junit4,junit-team,https://github.com/junit-team/junit4,2009-01-13T03:41:26Z,2020-10-07T10:06:45Z,7965,3018,Java,616,11
java-jwt,auth0,https://github.com/auth0/java-jwt,2014-03-07T15:06:11Z,2020-10-07T21:45:38Z,3813,717,Java,231,20
eloquente-javascript,braziljs,https://github.com/braziljs/eloquente-javascript,2014-01-03T15:18:01Z,2020-10-07T21:50:51Z,2666,818,,229,0
JavaVerbalExpressions,VerbalExpressions,https://github.com/VerbalExpressions/JavaVerbalExpressions,2013-07-25T16:15:26Z,2020-09-20T01:20:46Z,1838,223,Java,107,8
javascript-state-machine,jakesgordon,https://github.com/jakesgordon/javascript-state-machine,2011-06-01T22:02:01Z,2020-10-07T10:09:09Z,7364,914,JavaScript,257,0
java-tron,tronprotocol,https://github.com/tronprotocol/java-tron,2017-12-26T10:20:38Z,2020-10-07T08:42:36Z,2451,780,Java,310,49
jsr,mercyblitz,https://github.com/mercyblitz/jsr,2017-07-23T15:05:33Z,2020-10-06T14:08:04Z,1689,916,HTML,198,0
shopizer,shopizer-ecommerce,https://github.com/shopizer-ecommerce/shopizer,2012-11-21T03:42:39Z,2020-10-06T20:24:01Z,1750,1736,Java,260,8
zxing,zxing,https://github.com/zxing/zxing,2011-10-12T14:07:27Z,2020-10-07T18:07:49Z,26326,8809,Java,1702,27
useful-java-links,Vedenin,https://github.com/Vedenin/useful-java-links,2016-02-13T13:14:52Z,2020-10-07T16:26:55Z,4801,1031,Java,531,0
JGrowing,javagrowing,https://github.com/javagrowing/JGrowing,2019-02-26T01:55:08Z,2020-10-07T14:08:03Z,3542,783,Java,221,0
javascript-testing-best-practices,goldbergyoni,https://github.com/goldbergyoni/javascript-testing-best-practices,2019-07-04T11:08:12Z,2020-10-07T20:20:13Z,9574,756,JavaScript,190,0
mongo-java-driver,mongodb,https://github.com/mongodb/mongo-java-driver,2009-01-15T15:16:29Z,2020-10-07T20:21:02Z,2347,1357,Java,237,101
docker-java,docker-java,https://github.com/docker-java/docker-java,2014-06-02T18:47:31Z,2020-10-06T08:37:52Z,1817,823,Java,103,36
greys-anatomy,oldmanpushcart,https://github.com/oldmanpushcart/greys-anatomy,2012-11-21T19:39:35Z,2020-10-03T15:45:24Z,3534,1154,Java,453,0
Java-Interview,xbox1994,https://github.com/xbox1994/Java-Interview,2018-03-28T11:40:00Z,2020-10-08T00:05:50Z,2187,695,,106,0
Awesome-RxJava,lzyzsd,https://github.com/lzyzsd/Awesome-RxJava,2015-07-01T02:28:39Z,2020-10-05T15:52:03Z,4810,905,,283,0
think-in-java,quanke,https://github.com/quanke/think-in-java,2016-05-04T03:59:47Z,2020-10-06T13:46:56Z,1554,533,,65,0
reflections,ronmamo,https://github.com/ronmamo/reflections,2013-04-16T16:19:26Z,2020-10-07T12:50:57Z,3393,561,Java,203,0
javascript-in-one-pic,coodict,https://github.com/coodict/javascript-in-one-pic,2015-06-24T15:09:02Z,2020-10-07T19:50:26Z,6352,762,,375,0
Java-Interview-Advanced,shishan100,https://github.com/shishan100/Java-Interview-Advanced,2019-07-11T13:03:03Z,2020-10-07T14:27:43Z,2523,1139,HTML,204,0
